artes_e_artesanato,5
la_cuisine,7
portateis_cozinha_e_preparadores_de_alimentos,7
livros_importados,7
fashion_roupa_infanto_juvenil,8
construcao_ferramentas_iluminacao,9
portateis_casa_forno_e_cafe,9
artigos_de_festas,9
pc_gamer,9
alimentos,9
cds_dvds_musicais,10
fraldas_higiene,10
malas_acessorios,10
eletroportateis,10
construcao_ferramentas_construcao,10
cine_foto,10
livros_tecnicos,10
sinalizacao_e_seguranca,10
utilidades_domesticas,10
bebidas,10
industria_comercio_e_negocios,10
alimentos_bebidas,10
construcao_ferramentas_jardim,11
fashion_bolsas_e_acessorios,11
beleza_saude,11
construcao_ferramentas_seguranca,11
perfumaria,11
fashion_roupa_feminina,11
agro_industria_e_comercio,11
artes,11
flores,11
brinquedos,11
fashion_esporte,11
eletrodomesticos,11
musica,11
moveis_cozinha_area_de_servico_jantar_e_jardim,11
livros_interesse_geral,11
pet_shop,11
construcao_ferramentas_ferramentas,12
climatizacao,12
relogios_presentes,12
esporte_lazer,12
fashion_roupa_masculina,12
instrumentos_musicais,12
papelaria,12
moveis_decoracao,12
cool_stuff,12
bebes,12
market_place,12
tablets_impressao_imagem,12
NULL,12
eletronicos,12
telefonia,12
automotivo,12
telefonia_fixa,12
dvds_blu_ray,12
cama_mesa_banho,12
pcs,13
moveis_sala,13
eletrodomesticos_2,13
moveis_quarto,13
ferramentas_jardim,13
fashion_underwear_e_moda_praia,13
casa_conforto,13
casa_construcao,13
informatica_acessorios,13
consoles_games,13
audio,13
moveis_colchao_e_estofado,14
casa_conforto_2,14
artigos_de_natal,15
fashion_calcados,15
seguros_e_servicos,15
moveis_escritorio,20
